name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
Parque Metropolitano- Entrada Pedro de Valdivia - 1,Metropolitana,Providencia,Pedro de Valdivia Norte 699,-3.341.533,-7.061.739,44,Conector Tipo 2,AC,22
Parque Metropolitano- Entrada Pedro de Valdivia - 1,Metropolitana,Providencia,Pedro de Valdivia Norte 699,-3.341.533,-7.061.739,44,Conector Tipo 2,AC,22
Parque Metropolitano_Jardín Mapulemo - 1,Metropolitana,Recoleta,Pio Nono 450 p2,-3.341.383,-706.208,44,Conector Tipo 2,AC,22
Parque Metropolitano_Jardín Mapulemo - 1,Metropolitana,Recoleta,Pio Nono 450 p2,-3.341.383,-706.208,44,Conector Tipo 2,AC,22
Grupo Patio Foster - 1,Metropolitana,Las Condes,Enrique Foster 21,-3.341.556,-7.059.412,7,Conector Tipo 1,AC,7
Grupo Patio Foster - 2,Metropolitana,Las Condes,Enrique Foster 21,-3.341.556,-7.059.412,7,Conector Tipo 2,AC,7
Hotel Patagonico - 1,Maule,Talca,Dos Norte 3835,-3.543.508,-7.161.566,44,Conector Tipo 2,AC,22
Hotel Patagonico - 1,Maule,Talca,Dos Norte 3835,-3.543.508,-7.161.566,44,Conector Tipo 2,AC,22
PUNTO DE RECARGA DOBLE EV-BOX_1 MPAN - 1,Antofagasta,Antofagasta,Av Balmaceda 2355,-2.364.621,-7.040.109,7,4,Conector Tipo 2,AC,7,4
PUNTO DE RECARGA DOBLE EV-BOX_1 MPAN - 2,Antofagasta,Antofagasta,Av Balmaceda 2355,-2.364.621,-7.040.109,7,4,Conector Tipo 2,AC,7,4
