name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
Proyecto Cargadores VE Stripcenter Los Trapenses - 1,Metropolitana,Lo Barnechea,Camino Los Trapenses 3515,-3.334.331,-7.054.444,44,Conector Tipo 2,AC,22
Proyecto Cargadores VE Stripcenter Los Trapenses - 1,Metropolitana,Lo Barnechea,Camino Los Trapenses 3515,-3.334.331,-7.054.444,44,Conector Tipo 2,AC,22
Proyecto CE Hotel Icon - 1,Metropolitana,Las Condes,Alonso de Córdova 6050,-3.340.788,-7.056.829,22,Conector Tipo 2,AC,22
Proyecto CE Hotel Icon - 2,Metropolitana,Las Condes,Alonso de Córdova 6050,-3.340.788,-7.056.829,22,Conector Tipo 2,AC,22
Proyecto CE Hotel Torremayor 322 - 1,Metropolitana,Providencia,Avenida Ricardo Lyon 322,-334.246,-706.085,22,Conector Tipo 2,AC,22
Proyecto CE Hotel Torremayor 322 - 2,Metropolitana,Providencia,Avenida Ricardo Lyon 322,-334.246,-706.085,22,Conector Tipo 2,AC,22
Proyecto Inst. Cargadores Elect. Hotel Sheraton - 1,Metropolitana,Providencia,Avenida Santa Maria 1742,-334.219,-7.062.115,22,Conector Tipo 2,AC,22
Proyecto Inst. Cargadores Elect. Hotel Sheraton - 2,Metropolitana,Providencia,Avenida Santa Maria 1742,-334.219,-7.062.115,22,Conector Tipo 2,AC,22
SABA Plaza de Armas 1 - 1,Metropolitana,Santiago,21 de Mayo 576,-3.343.628,-7.065.014,7,Conector Tipo 1,AC,7
SABA Plaza de Armas 1 - 1,Metropolitana,Santiago,21 de Mayo 576,-3.343.628,-7.065.014,7,Conector Tipo 2,AC,7
SABA Plaza de Armas 1 - 2,Metropolitana,Santiago,21 de Mayo 576,-3.343.628,-7.065.014,7,Conector Tipo 2,AC,7
SABA Plaza de Armas 1 - 2,Metropolitana,Santiago,21 de Mayo 576,-3.343.628,-7.065.014,7,Conector Tipo 2,AC,7
Enel X - Sodimac Quilín - 1,Metropolitana,Penalolén,altos del parque sur 5800,-334.987,-7.055.529,22,Conector Tipo 2,AC,11
Enel X - Sodimac Quilín - 1,Metropolitana,Penalolén,altos del parque sur 5800,-334.987,-7.055.529,22,Conector Tipo 2,AC,11
Enel X - Sodimac Quilín - 2,Metropolitana,Penalolén,altos del parque sur 5800,-334.987,-7.055.529,22,Conector Tipo 2,AC,11
Enel X - Sodimac Quilín - 2,Metropolitana,Penalolén,altos del parque sur 5800,-334.987,-7.055.529,22,Conector Tipo 2,AC,11
Cargador Electrico Shell Los Dominicos - 1,Metropolitana,Las Condes,Patagonia 75,-3.340.918,-7.054.478,50,CHAdeMO,DC,50
Cargador Electrico Shell Los Dominicos - 1,Metropolitana,Las Condes,Patagonia 75,-3.340.918,-7.054.478,50,Combinado Tipo 2,DC,50
Cargador Electrico Shell Los Dominicos - 1,Metropolitana,Las Condes,Patagonia 75,-3.340.918,-7.054.478,50,Conector Tipo 2,AC,43
EDS Shell Parral - 1,Maule,Parral,Ruta 5 sur Km 344,-3.617.881,-7.182.341,98,Conector Tipo 2,AC,43
EDS Shell Parral - 1,Maule,Parral,Ruta 5 sur Km 344,-3.617.881,-7.182.341,98,CHAdeMO,DC,50
EDS Shell Parral - 1,Maule,Parral,Ruta 5 sur Km 344,-3.617.881,-7.182.341,98,Combinado Tipo 2,DC,50
ELECTROLINERA SHELL LOS TRAPENSES - 1,Metropolitana,Lo Barnechea,Camino Los Trapenses 3385,-3.334.485,-7.054.589,50,CHAdeMO,DC,50
ELECTROLINERA SHELL LOS TRAPENSES - 1,Metropolitana,Lo Barnechea,Camino Los Trapenses 3385,-3.334.485,-7.054.589,50,Combinado Tipo 2,DC,50
